FIP,9/8/1918,9/15/1918,9/22/1918,9/29/1918,10/6/1918,10/13/1918,10/20/1918,10/27/1918,11/3/1918,11/10/1918,11/17/1918,11/24/1918,12/1/1918,12/8/1918,12/15/1918,12/22/1918,12/29/1918,1/4/1920,1/11/1920,1/18/1920,1/25/1920,2/1/1920,2/8/1920,2/15/1920,2/22/1920,2/29/1920,3/7/1920
177,1,0,0,0,1,3,10,10,17,6,6,7,9,9,2,3,2,1,0,3,0,4,5,6,5,3,5
179,0,0,0,0,0,0,0,2,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
181,0,0,1,0,2,1,0,4,1,2,0,3,4,4,1,2,2,0,1,1,0,1,3,2,3,3,3
183,1,1,0,0,4,4,2,4,0,1,6,9,2,7,8,2,5,2,0,2,1,5,6,8,5,3,2
185,0,0,0,1,1,1,5,2,1,1,1,3,14,11,2,3,2,2,0,4,0,2,3,9,6,4,4
186,0,0,0,2,0,1,2,1,0,1,14,9,7,1,1,0,1,0,0,0,0,1,1,0,1,2,0
187,0,0,0,1,2,2,4,4,5,7,9,8,19,22,9,6,5,1,2,3,3,24,31,18,9,4,2
189,1,2,1,5,32,62,33,12,15,11,11,8,30,23,24,8,9,5,5,6,28,40,36,14,12,5,5
195,1,0,1,1,5,3,9,11,11,5,8,11,13,21,15,5,5,0,1,2,3,13,17,13,3,4,2
197,0,0,0,0,0,0,0,2,0,2,0,0,4,1,3,2,0,0,0,1,0,0,0,0,0,0,0
199,0,0,0,1,1,1,1,0,2,0,1,5,5,5,0,0,0,0,1,0,0,5,8,4,4,3,2
201,0,0,0,0,3,12,14,11,18,13,17,9,12,13,8,6,5,2,4,2,3,1,10,14,6,6,8
203,0,0,0,1,0,5,1,0,3,1,1,2,4,0,3,1,1,0,0,0,3,4,2,3,7,4,0
205,0,0,0,1,1,4,1,3,2,7,7,7,6,1,1,0,1,0,0,0,0,4,6,5,3,1,1
207,0,1,0,1,7,12,17,18,18,11,16,9,16,14,16,8,9,1,5,1,0,3,8,18,13,11,11
209,0,0,0,1,1,2,6,3,2,0,2,3,5,4,0,2,0,0,0,0,1,2,2,2,0,4,2
211,0,1,0,0,3,6,6,11,14,9,5,1,10,7,1,1,0,0,2,1,0,3,4,2,3,1,1
213,0,0,0,0,0,1,0,1,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
215,0,0,0,1,1,0,1,2,0,4,0,2,1,3,1,3,3,0,2,2,1,2,5,14,7,10,6
217,0,0,0,2,23,18,39,23,6,8,3,6,6,11,7,7,3,1,3,3,3,9,10,12,10,8,1
219,0,0,0,0,0,1,0,1,1,0,1,0,2,1,0,0,1,0,0,0,1,0,5,3,0,0,0
221,1,0,1,0,0,2,3,5,4,3,3,9,8,2,1,1,4,0,1,2,4,4,9,8,6,1,0
223,0,0,0,0,1,3,2,8,7,9,6,3,12,8,5,2,0,0,0,1,3,7,6,14,6,4,1
225,0,0,0,1,0,6,0,2,1,1,2,5,8,12,8,4,1,1,1,1,1,5,0,6,3,4,2
227,0,0,0,0,0,2,0,1,1,2,1,1,2,3,1,0,3,0,0,0,2,1,0,0,1,0,0
229,0,0,0,1,3,14,8,5,4,3,5,3,6,6,7,3,3,0,0,0,2,2,5,7,1,2,5
510,14,17,20,49,132,220,228,257,219,220,191,254,421,445,249,98,80,55,50,95,305,397,237,96,63,39,30
