FIP,9/8/1918,9/15/1918,9/22/1918,9/29/1918,10/6/1918,10/13/1918,10/20/1918,10/27/1918,11/3/1918,11/10/1918,11/17/1918,11/24/1918,12/1/1918,12/8/1918,12/15/1918,12/22/1918,12/29/1918,1/5/1919,1/12/1919,1/19/1919,1/26/1919,2/2/1919,2/9/1919,2/16/1919,2/23/1919,3/2/1919,3/9/1919,3/16/1919,3/23/1919,3/30/1919,4/6/1919,4/13/1919,4/20/1919,4/27/1919,5/4/1919,5/11/1919,5/18/1919,5/25/1919,6/1/1919,6/8/1919,6/15/1919,6/22/1919,6/29/1919,7/6/1919,7/13/1919,7/20/1919,7/27/1919,8/3/1919,8/10/1919,8/17/1919,8/24/1919,8/31/1919,9/7/1919,9/14/1919,9/21/1919,9/28/1919,10/5/1919,10/12/1919,10/19/1919,10/26/1919,11/2/1919,11/9/1919,11/16/1919,11/23/1919,11/30/1919,12/7/1919,12/14/1919,12/21/1919,12/28/1919,1/4/1920,1/11/1920,1/18/1920,1/25/1920,2/1/1920,2/8/1920,2/15/1920,2/22/1920,2/29/1920,3/7/1920,3/14/1920,3/21/1920,3/28/1920,4/4/1920,4/11/1920,4/18/1920,4/25/1920,5/2/1920,5/9/1920,5/16/1920,5/23/1920,5/30/1920,6/6/1920,6/13/1920,6/20/1920,6/27/1920,7/4/1920,7/11/1920,7/18/1920,7/25/1920,8/1/1920,8/8/1920,8/15/1920,8/22/1920,8/29/1920
155,1,1,0,1,12,23,32,35,23,8,2,4,3,3,2,3,3,2,5,2,3,4,4,0,2,1,3,0,0,2,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,1,1,0,0,0,1,1,0,2,0,2,1,1,1,3,4,4,3,3,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
157,0,0,0,0,0,0,1,1,1,7,6,2,6,4,1,3,1,1,0,1,0,1,1,5,4,1,9,5,2,2,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,1,2,1,0,0,1,8,8,3,0,1,2,2,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
159,0,0,1,3,8,14,23,12,5,4,9,7,24,24,13,8,1,4,9,3,4,3,5,3,4,5,4,3,9,2,5,0,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,3,1,2,2,3,11,19,20,8,5,7,1,3,0,2,1,1,0,1,2,0,0,1,0,1,1,0,0,0,0,0,2,1,0,1,1
161,0,0,1,0,4,3,3,7,3,2,2,0,1,3,4,3,2,0,2,1,2,4,3,5,4,3,2,2,1,0,0,0,0,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,3,0,1,2,3,1,1,0,1,7,2,7,3,5,4,0,1,2,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
163,0,0,0,0,0,1,2,4,3,4,5,1,1,2,10,14,2,1,3,2,5,0,1,1,2,1,0,2,2,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,2,0,2,0,2,0,1,0,0,2,1,3,17,10,9,5,3,0,1,0,1,0,0,0,0,2,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
165,0,0,0,3,2,2,2,1,4,3,0,1,4,10,8,1,1,2,0,1,0,0,1,2,1,1,1,2,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,4,6,5,2,1,2,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
167,2,1,0,0,7,8,5,3,3,1,5,3,5,9,2,5,4,4,9,1,3,4,1,2,2,1,0,1,1,1,2,0,0,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1,2,1,2,3,4,5,5,5,4,5,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,1,2,2,1,1,1,1,1,1,2,2,4,1,1,2,1,0,0,0,1,0,0,0,2,0,0,2,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,6,9,12,8,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,1,0,0,0,0,0,0,0,1,2,0,3,3,9,4,0,1,3,0,0,0,0,1,1,1,0,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,5,5,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
173,0,0,0,0,2,4,7,0,4,3,2,0,1,1,4,0,1,6,4,1,2,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,1,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
175,0,0,1,1,3,6,6,9,3,4,6,11,10,19,11,9,0,3,3,3,2,0,0,2,4,2,2,5,3,2,2,2,1,2,4,1,0,3,1,0,0,1,2,1,0,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,1,2,0,0,1,0,2,1,3,1,2,1,2,5,6,8,7,2,3,1,3,0,0,2,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
177,1,0,0,0,1,3,10,10,17,6,6,7,9,9,2,3,2,3,8,6,6,2,3,2,1,3,0,1,4,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,1,0,3,0,4,5,6,5,3,5,5,1,2,2,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
179,0,0,0,0,0,0,0,2,0,4,1,0,1,0,0,0,0,1,2,0,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,1,0,2,1,0,4,1,2,0,3,4,4,1,2,2,0,3,1,1,4,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,3,2,3,3,3,4,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
183,1,1,0,0,4,4,2,4,0,1,6,9,2,7,8,2,5,5,2,2,0,4,2,2,1,0,2,1,2,6,2,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,2,0,2,1,5,6,8,5,3,2,3,1,2,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
185,0,0,0,1,1,1,5,2,1,1,1,3,14,11,2,3,2,4,1,1,0,0,0,2,1,0,3,0,3,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,2,3,9,6,4,4,3,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,2,0,1,2,1,0,1,14,9,7,1,1,0,1,1,1,2,0,1,0,1,1,2,4,1,1,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
187,0,0,0,1,2,2,4,4,5,7,9,8,19,22,9,6,5,4,4,7,5,1,1,6,3,4,1,5,1,2,5,2,0,2,0,0,3,1,0,0,0,0,1,1,1,0,1,1,0,0,3,0,2,0,1,2,2,0,1,2,1,0,0,1,1,2,0,1,4,1,2,3,3,24,31,18,9,4,2,4,1,3,1,0,2,4,1,4,2,2,0,0,1,1,1,0,0,1,2,1,0,0,2,0
189,1,2,1,5,32,62,33,12,15,11,11,8,30,23,24,8,9,11,11,13,8,10,6,9,9,12,10,17,12,3,7,2,3,5,1,2,1,1,5,0,0,2,0,0,2,0,3,2,1,0,1,1,2,1,2,2,1,4,1,3,0,3,3,5,4,5,4,6,4,5,5,6,28,40,36,14,12,5,5,2,3,4,1,4,3,2,1,3,2,2,3,2,0,1,0,1,0,0,2,1,0,0,2,0
195,1,0,1,1,5,3,9,11,11,5,8,11,13,21,15,5,5,4,6,2,2,3,2,3,7,4,0,3,4,4,2,1,0,0,1,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,1,0,0,1,2,3,13,17,13,3,4,2,1,3,1,1,0,1,2,3,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,2,0,2,0,0,4,1,3,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,1,1,1,1,0,2,0,1,5,5,5,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,5,8,4,4,3,2,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,3,12,14,11,18,13,17,9,12,13,8,6,5,2,7,4,6,1,1,2,2,2,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,1,1,2,4,2,3,1,10,14,6,6,8,3,1,2,1,1,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
203,0,0,0,1,0,5,1,0,3,1,1,2,4,0,3,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,0,0,0,3,4,2,3,7,4,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,1,1,4,1,3,2,7,7,7,6,1,1,0,1,3,1,1,1,1,0,0,1,0,1,1,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4,6,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
207,0,1,0,1,7,12,17,18,18,11,16,9,16,14,16,8,9,10,12,12,11,10,5,2,1,1,2,2,3,3,0,3,3,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1,3,1,2,1,1,4,0,1,5,1,0,3,8,18,13,11,11,3,1,3,0,1,0,0,3,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
209,0,0,0,1,1,2,6,3,2,0,2,3,5,4,0,2,0,1,1,0,2,1,1,0,0,0,2,3,2,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,2,1,0,0,0,0,0,1,2,2,2,0,4,2,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
211,0,1,0,0,3,6,6,11,14,9,5,1,10,7,1,1,0,2,2,2,2,3,0,1,1,2,1,2,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,1,0,3,4,2,3,1,1,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
213,0,0,0,0,0,1,0,1,0,2,3,1,1,0,0,0,0,1,1,1,4,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,1,1,0,1,2,0,4,0,2,1,3,1,3,3,4,2,3,1,1,4,1,1,1,0,5,2,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,2,2,1,2,5,14,7,10,6,5,4,2,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0
217,0,0,0,2,23,18,39,23,6,8,3,6,6,11,7,7,3,4,4,4,3,1,0,4,2,5,1,3,0,3,2,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,3,2,2,1,1,3,3,3,9,10,12,10,8,1,4,0,1,0,0,1,0,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
219,0,0,0,0,0,1,0,1,1,0,1,0,2,1,0,0,1,1,1,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
221,1,0,1,0,0,2,3,5,4,3,3,9,8,2,1,1,4,13,9,11,6,5,5,3,2,3,0,4,0,0,1,3,0,2,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,2,4,4,9,8,6,1,0,3,2,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,1,3,2,8,7,9,6,3,12,8,5,2,0,0,0,1,1,2,2,1,0,2,0,1,2,0,0,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,3,7,6,14,6,4,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
225,0,0,0,1,0,6,0,2,1,1,2,5,8,12,8,4,1,4,5,3,2,3,6,0,3,1,3,0,2,2,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,5,0,6,3,4,2,2,1,1,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
227,0,0,0,0,0,2,0,1,1,2,1,1,2,3,1,0,3,0,1,2,1,1,2,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,0,0,0,1,3,14,8,5,4,3,5,3,6,6,7,3,3,0,2,1,3,3,2,2,2,3,2,1,1,2,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,2,2,5,7,1,2,5,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
510,14,17,20,49,132,220,228,257,219,220,191,254,421,445,249,98,80,72,78,69,73,47,69,64,70,92,116,120,65,48,48,40,29,24,27,12,22,16,17,13,6,10,13,10,11,16,5,7,12,6,7,15,14,15,16,13,7,11,17,25,18,19,21,12,35,32,33,45,56,55,50,95,305,397,237,96,63,39,30,36,30,27,28,31,32,39,32,21,23,15,17,16,15,10,12,7,13,11,18,20,13,11,15,9
